prov_id,turn_out,percent_turn_out,valid_votes,invalid_votes,blank_votes,party_list_turn_out,party_list_valid_votes,counted_vote_stations,percent_count,total_registered_vote,province,invalid_pct,blank_pct,invalid_anomaly
CPM,465570,51.45307,437846,18080,9644,467281,428661,1635,82.78481,904844,ชัยภูมิ,3.88,2.07,False
UDN,719092,57.12847,668539,28443,22110,716585,665636,2188,94.71861,1258728,อุดรธานี,3.96,3.07,False
BRM,729170,57.79623,675199,30284,23687,723486,672836,2616,94.85134,1261622,บุรีรัมย์,4.15,3.25,False
SRN,635754,57.99199,595568,23700,16486,633002,588576,2165,94.83136,1096279,สุรินทร์,3.73,2.59,False
UTI,153174,58.49886,140073,6175,6926,152857,140326,619,94.79326,261841,อุทัยธานี,4.03,4.52,False
RET,617341,58.55048,584851,20192,12298,631925,595406,2438,94.82692,1054374,ร้อยเอ็ด,3.27,1.99,False
NKI,244970,59.24778,226861,11760,6349,245229,226860,798,94.77435,413467,หนองคาย,4.8,2.59,False
SSK,692929,59.29078,654324,24949,13656,681608,633518,2671,94.81718,1168696,ศรีสะเกษ,3.6,1.97,False
SNK,546739,59.42835,509220,19804,17715,555694,516238,1636,94.89559,919997,สกลนคร,3.62,3.24,False
NBP,245958,60.18911,232914,7332,5712,250648,233594,764,94.78908,408642,หนองบัวลำภู,2.98,2.32,False
ACR,183470,60.60956,168577,8104,6789,183006,169987,640,94.81481,302708,อำนาจเจริญ,4.42,3.7,False
RYG,380131,61.13318,345311,14270,20550,375382,349144,876,87.68769,621808,ระยอง,3.75,5.41,False
KSN,483705,61.13531,457119,14311,12275,482506,446887,1622,94.79836,791204,กาฬสินธุ์,2.96,2.54,False
KPT,349276,61.30811,320475,16931,11870,350124,313687,1126,94.78114,569706,กำแพงเพชร,4.85,3.4,False
UTT,225733,61.55845,204027,10998,10708,225604,204314,737,94.85199,366697,อุตรดิตถ์,4.87,4.74,False
UBN,923619,61.66508,855682,36755,31182,927701,857861,3004,94.79331,1497799,อุบลราชธานี,3.98,3.38,False
MKM,475882,61.84237,450221,13646,12015,476939,446874,1704,94.82471,769508,มหาสารคาม,2.87,2.52,False
NSN,518770,61.88719,478258,22990,17522,520501,470687,1569,94.80363,838251,นครสวรรค์,4.43,3.38,False
SKW,275813,62.16275,252729,12021,11063,275689,250570,854,94.78357,443695,สระแก้ว,4.36,4.01,False
NPM,358381,62.46891,338393,11187,8801,358038,335288,1134,94.8954,573695,นครพนม,3.12,2.46,False
PNB,493539,63.00436,456493,20616,16430,488345,442072,1621,93.64529,783341,เพชรบูรณ์,4.18,3.33,False
BKN,209738,63.05975,197231,7970,4537,212500,199062,697,93.6828,332602,บึงกาฬ,3.8,2.16,False
PCT,270404,63.24604,248780,12273,9351,269238,243471,970,94.91194,427543,พิจิตร,4.54,3.46,False
STI,302562,63.36417,273888,14091,14583,302421,272365,950,94.81038,477497,สุโขทัย,4.66,4.82,False
YST,275121,63.61062,262584,7835,4702,267922,252610,878,94.81641,432508,ยโสธร,2.85,1.71,False
LEI,323275,63.6204,287584,20241,15450,322732,292624,996,94.85714,508131,เลย,6.26,4.78,True
NMA,1365554,63.65462,1251246,55055,59253,1374000,1253391,4384,94.87124,2145255,นครราชสีมา,4.03,4.34,False
TAK,264971,63.80016,221410,19333,24228,265077,237166,673,94.78873,415314,ตาก,7.3,9.14,True
RNG,91488,63.83745,79569,4533,7386,91420,84949,233,94.71545,143314,ระนอง,4.95,8.07,False
TRT,112944,63.83902,104438,4161,4345,113099,103587,329,94.81268,176920,ตราด,3.68,3.85,False
PKT,212590,64.39233,192128,6659,13803,212867,199375,445,94.68085,330148,ภูเก็ต,3.13,6.49,False
BKK,2921346,64.88336,2717431,48559,155356,2917995,2784699,6289,93.07385,4502458,กรุงเทพมหานคร,1.66,5.32,False
PLK,448686,64.96557,409614,18588,20484,449081,407027,1291,94.78708,690652,พิษณุโลก,4.14,4.57,False
KKN,948928,65.06767,884261,35599,29068,943723,877500,2653,94.81773,1458371,ขอนแก่น,3.75,3.06,False
MDH,185043,66.00687,174061,6511,4471,184464,170680,587,94.83037,280339,มุกดาหาร,3.52,2.42,False
CBI,857707,66.26971,791675,25913,40119,849813,791643,1655,94.73383,1294267,ชลบุรี,3.02,4.68,False
SPK,750303,66.60952,688634,21038,40631,752183,705047,1678,94.74873,1126420,สมุทรปราการ,2.8,5.42,False
NBI,730832,66.78028,668274,17102,45456,730093,688945,1442,92.49519,1094383,นนทบุรี,2.34,6.22,False
CNT,175623,67.13956,153210,9888,12525,175454,155547,489,94.76744,261579,ชัยนาท,5.63,7.13,False
CRI,638496,67.28171,571695,36047,30754,638650,583651,1938,94.81409,948989,เชียงราย,5.65,4.82,False
NAN,262208,67.35786,235749,12335,14124,253293,230269,905,94.86373,389276,น่าน,4.7,5.39,False
PTN,354370,67.4125,333392,12105,8873,358666,333265,931,94.80652,525674,ปัตตานี,3.42,2.5,False
SRI,350189,67.47588,317886,14215,18088,351577,316697,857,94.80088,518984,สระบุรี,4.06,5.17,False
NST,834185,67.72049,770781,23621,39783,834919,788298,2162,94.74145,1231806,นครศรีธรรมราช,2.83,4.77,False
SKN,314303,67.92451,288466,10562,15275,313651,291061,638,94.65875,462724,สมุทรสาคร,3.36,4.86,False
PRE,244786,67.96779,224764,11231,8791,234407,216834,758,94.86859,360150,แพร่,4.59,3.59,False
PKN,298896,68.21244,282469,8129,8298,299447,275714,703,94.87179,438184,ประจวบคีรีขันธ์,2.72,2.78,False
PYO,261800,68.3278,242148,10712,8940,261481,243677,831,94.75485,383153,พะเยา,4.09,3.41,False
CTI,295755,68.33652,267197,11685,16873,295715,265949,834,94.88055,432792,จันทบุรี,3.95,5.71,False
YLA,271680,68.62946,247511,11779,12390,268043,246621,671,94.77401,395865,ยะลา,4.34,4.56,False
SKM,107475,68.7774,96695,4271,6509,106789,97039,254,94.77612,156265,สมุทรสงคราม,3.97,6.06,False
PRI,277900,68.86725,250696,11188,16016,277736,251502,757,94.74343,403530,ปราจีนบุรี,4.03,5.76,False
KRI,455223,69.25798,419284,18584,17355,454712,410146,1041,94.80874,657286,กาญจนบุรี,4.08,3.81,False
NWT,413836,69.31415,390436,13338,10062,407971,376334,1029,94.75138,597044,นราธิวาส,3.22,2.43,False
PTE,705103,69.62192,651385,18204,35514,705411,664086,1415,94.77562,1012760,ปทุมธานี,2.58,5.04,False
SPB,471942,69.63518,436169,17941,17832,467434,425906,1220,94.79409,677735,สุพรรณบุรี,3.8,3.78,False
LPG,419729,69.69036,372909,22235,24585,419631,380196,1190,94.89633,602277,ลำปาง,5.3,5.86,False
LRI,417742,70.04088,387298,15458,14986,413541,374412,1038,94.79452,596426,ลพบุรี,3.7,3.59,False
STN,173036,70.21824,158380,5312,9344,167920,155854,413,94.72477,246426,สตูล,3.07,5.4,False
KBI,260955,70.41837,240995,7783,12177,256947,241732,622,94.81707,370578,กระบี่,2.98,4.67,False
CMI,949962,70.45832,857926,43911,48125,952061,871945,2685,94.84281,1348261,เชียงใหม่,4.62,5.07,False
TRG,363165,71.1526,338154,8288,16723,369314,349068,894,94.80382,510403,ตรัง,2.28,4.6,False
PNA,150529,71.30156,135633,5518,9378,150574,139786,375,94.69697,211116,พังงา,3.67,6.23,False
CPN,292886,71.49996,273509,7328,12049,288001,272014,780,94.77521,409631,ชุมพร,2.5,4.11,False
SBR,120463,72.05889,108486,5170,6807,120546,108622,316,94.89489,167173,สิงห์บุรี,4.29,5.65,False
PBI,285833,72.1094,260275,11597,13961,285321,258300,736,94.84536,396388,เพชรบุรี,4.06,4.88,False
SNI,611985,72.21863,579052,13355,19578,610084,579743,1441,94.7403,847406,สุราษฎร์ธานี,2.18,3.2,False
LPN,241311,72.27239,214553,12026,14732,239320,215963,672,94.91525,333891,ลำพูน,4.98,6.1,False
ATG,162487,72.51003,150742,5730,6015,159787,145282,479,94.85149,224089,อ่างทอง,3.53,3.7,False
NYK,155019,72.77921,143562,5406,6051,155587,140854,441,94.83871,212999,นครนายก,3.49,3.9,False
MSN,134769,72.78044,121403,8680,4686,134978,124159,449,94.72574,185172,แม่ฮ่องสอน,6.44,3.48,True
AYA,498076,73.47901,461803,17095,19178,495773,454884,1101,94.91379,677848,พระนครศรีอยุธยา,3.43,3.85,False
CCO,435231,73.52099,393454,18496,23281,434541,395162,998,94.95718,591982,ฉะเชิงเทรา,4.25,5.35,False
RBR,509867,73.73071,467118,19074,23675,512366,461070,1116,94.81733,691526,ราชบุรี,3.74,4.64,False
NPT,560830,74.09849,517797,17117,25916,561033,514974,1232,94.84219,756871,นครปฐม,3.05,4.62,False
SKA,834590,74.32141,770059,23439,41092,837989,789751,1842,94.80185,1122947,สงขลา,2.81,4.92,False
PLG,329838,78.03252,313383,7185,9270,314194,299306,763,94.66501,422693,พัทลุง,2.18,2.81,False
